,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:17:03.165,0.123457711889,0.239405800402,9.83626373618,1.57211901515e-05,-0.000246375498182,-0.000163839327172,3860.0,1,0,0,495.0,-14.57745372,18.4682618,-34.84210224
2018-06-07 11:17:03.665,0.123876116457,0.236841114518,9.83323273858,0.000128235494141,-0.000369910037879,-0.000158598933434,3860.0,1,0,0,494.25,-16.42559816,18.31945796,-35.1796874
2018-06-07 11:17:04.165,0.126021034985,0.236795166633,9.83332879899,5.27892605051e-05,-0.000154899827879,-0.00011582808697,3860.0,1,0,0,493.5,-16.3624878,18.81042476,-35.0270996
2018-06-07 11:17:04.665,0.123116584883,0.238488444569,9.83415010406,6.95122772727e-05,-0.000315964822121,0.000196514697475,3860.0,1,0,0,497.0,-14.91143802,17.7286376,-36.12243652
2018-06-07 11:17:05.165,0.122417583905,0.238485212513,9.83417015075,-0.000145652062576,-0.000251924145354,-0.000335693361919,3860.0,1,0,0,499.5,-16.48193364,19.51708988,-35.24023448
2018-06-07 11:17:05.665,0.126323198629,0.239409245237,9.83191420556,0.000430482833737,-0.000418923101818,-0.000222716675051,3860.0,1,0,0,512.0,-15.890564,18.44799812,-35.07147252
2018-06-07 11:17:06.165,0.125561338253,0.239118479697,9.83285713384,7.46756031818e-05,-0.000359506316667,-0.000261171903232,3860.0,1,0,0,516.0,-16.08758544,19.02270508,-35.718872
2018-06-07 11:17:06.665,0.124276717371,0.238596572487,9.83281375635,0.000203527598131,-3.05946422222e-05,1.872669e-05,3860.0,1,0,0,515.5,-15.14593502,18.83013924,-36.20281992
2018-06-07 11:17:07.165,0.127307450864,0.236981569397,9.83705261307,0.000203604665101,-0.000268184779091,-0.00027666188697,3860.0,1,0,0,515.0,-15.95977786,19.37579344,-36.42114228
2018-06-07 11:17:07.665,0.12507791199,0.238411335303,9.83595279293,2.05762616667e-05,-0.000262404932525,-1.88037649495e-05,3860.0,1,0,0,517.0,-15.46813966,18.89813244,-35.32958968
